מס' ספק,שם ספק,הזמנה,תאריך,מק'ט,תאור מוצר,ת. אספקה,כמות,יח',מחיר סופי,מטבע,מחיר סופי בשקלים
2030191,"אוריאל שי בע""מ",PO25000648,3/23/2025,12000146,פנס רמזור 70 מ''מ לד 2 צבעים 220 VAC,3/23/2025,1,יח',230.00,"ש""ח",230.00
2030191,"אוריאל שי בע""מ",PO25000686,3/25/2025,20000545,מגר LT300 (MEGGER,3/25/2025,1,יח',2184.00,"ש""ח",2184.00
2030191,"אוריאל שי בע""מ",PO25000719,3/31/2025,22002581,נצנץ למטוסים L-810,3/31/2025,1,יח',840.00,"ש""ח",840.00
2030191,"אוריאל שי בע""מ",PO25000759,4/6/2025,25001165,מהדק WDU 2.5,4/6/2025,50,יח',53.50,"ש""ח",53.50
2030191,"אוריאל שי בע""מ",PO25000759,4/6/2025,25001110,דופן למהדק WDU2.5-10,4/6/2025,50,יח',40.50,"ש""ח",40.50
2030191,"אוריאל שי בע""מ",PO25000759,4/6/2025,25001166,מהדק אדום WDU 2.5 RD,4/6/2025,50,יח',68.50,"ש""ח",68.50
2030191,"אוריאל שי בע""מ",PO25000759,4/6/2025,25001167,מהדק שחור  WDU 2.5 BK,4/6/2025,50,יח',68.50,"ש""ח",68.50
2030191,"אוריאל שי בע""מ",PO25000950,4/28/2025,25000275,מעצור למסילה 35  ES-35,4/28/2025,100,יח',115.00,"ש""ח",115.00
2030191,"אוריאל שי בע""מ",PO25000950,4/28/2025,25001165,מהדק WDU 2.5,4/28/2025,100,יח',107.00,"ש""ח",107.00
2030191,"אוריאל שי בע""מ",PO25001001,5/6/2025,25001166,מהדק אדום WDU 2.5 RD,5/6/2025,300,יח',426.00,"ש""ח",426.00
2030191,"אוריאל שי בע""מ",PO25001001,5/6/2025,25001167,מהדק שחור  WDU 2.5 BK,5/6/2025,300,יח',426.00,"ש""ח",426.00
2030191,"אוריאל שי בע""מ",PO25001001,5/6/2025,25000097,מהדק מס'  0  למוליך חשמל,5/6/2025,10,יח',14.40,"ש""ח",14.40
2030191,"אוריאל שי בע""מ",PO25001001,5/6/2025,25000275,מעצור למסילה 35  ES-35,5/6/2025,1000,יח',680.00,"ש""ח",680.00
2030191,"אוריאל שי בע""מ",PO25001012,5/6/2025,25001165,מהדק WDU 2.5,5/6/2025,100,יח',111.00,"ש""ח",111.00
2030191,"אוריאל שי בע""מ",PO25001012,5/6/2025,25001110,דופן למהדק WDU2.5-10,5/6/2025,100,יח',84.00,"ש""ח",84.00
2030191,"אוריאל שי בע""מ",PO25001148,5/20/2025,20000141,לוחץ נעלי כבל 25-5 ממ',5/20/2025,1,יח',135.00,"ש""ח",135.00
2030191,"אוריאל שי בע""מ",PO25001187,5/25/2025,20000141,לוחץ נעלי כבל 25-5 ממ',5/25/2025,2,יח',350.00,"ש""ח",350.00
2030191,"אוריאל שי בע""מ",PO25001215,5/27/2025,25000891,טרמוסטט ללוח מ 0-60 מעלות,5/27/2025,10,יח',379.50,"ש""ח",379.50
2030193,"ניסקו טכנולוגיות בע""מ",PO25000135,1/26/2025,22002823,TCP MODULE ADAM 6051-D,1/26/2025,23,יח',4807.00,USD,17314.81
2030193,"ניסקו טכנולוגיות בע""מ",PO25000205,2/2/2025,22002894,TCP MODULE ADAM 6060,2/2/2025,1,יח',269.00,USD,968.94
2030193,"ניסקו טכנולוגיות בע""מ",PO25000345,2/18/2025,22002894,TCP MODULE ADAM 6060,2/18/2025,30,יח',28680.78,"ש""ח",28680.78
2030193,"ניסקו טכנולוגיות בע""מ",PO25000534,3/7/2025,22002894,TCP MODULE ADAM 6060,3/7/2025,50,יח',34190.00,"ש""ח",34190.00
2030193,"ניסקו טכנולוגיות בע""מ",PO25000670,3/25/2025,22002894,TCP MODULE ADAM 6060,3/25/2025,2,יח',1992.21,"ש""ח",1992.21
2030193,"ניסקו טכנולוגיות בע""מ",PO25000757,4/6/2025,22002894,TCP MODULE ADAM 6060,4/6/2025,10,יח',10006.80,"ש""ח",10006.80
2030197,"ב.ג. אילנית שערים ואלמנטים אורבניים בע""מ",PO25000490,3/3/2025,22002665,מנוע לשער נגרר/קונזולי כבד 5500 ק''ג,3/3/2025,1,יח',3300.00,"ש""ח",3300.00
2030211,"אביב אנרג'יטק בע""מ",PO25000164,1/28/2025,25001089,ספק כח 5VDC 2A מתחבר עם שקע לקיר,1/28/2025,5,יח',60.00,"ש""ח",60.00
2030211,"אביב אנרג'יטק בע""מ",PO25000357,2/18/2025,25001147,ספק MDR-10-5,2/18/2025,5,יח',325.00,"ש""ח",325.00
2030217,"ליד בקרה בע""מ",PO25000684,3/25/2025,26000917,מחשב DELL VOSTRO I5 HD500G SSD 16GB,3/25/2025,1,יח',2147.74,"ש""ח",2147.74
2030217,"ליד בקרה בע""מ",PO25000685,3/25/2025,26000917,מחשב DELL VOSTRO I5 HD500G SSD 16GB,3/25/2025,3,יח',6443.22,"ש""ח",6443.22
2030217,"ליד בקרה בע""מ",PO25001048,5/11/2025,22002897,6ES7193-6BP00-0BA0,5/11/2025,80,יח',3698.01,"ש""ח",3698.01
2030217,"ליד בקרה בע""מ",PO25001048,5/11/2025,22002898,6ES7193-6BP00-0DA0,5/11/2025,60,יח',4853.64,"ש""ח",4853.64
2030221,"תעשיות רדימיקס ישראל בע""מ",PO25000417,2/23/2025,34000022,בטון מוכן ב-30 שקיעה 4 עדש,2/23/2025,2,יח',640.12,"ש""ח",640.12
2030221,"תעשיות רדימיקס ישראל בע""מ",PO25000750,4/3/2025,34000022,בטון מוכן ב-30 שקיעה 4 עדש,4/3/2025,2,יח',990.62,"ש""ח",990.62
2030221,"תעשיות רדימיקס ישראל בע""מ",PO25000750,4/3/2025,19000113,הובלה,4/3/2025,4,יח',267.08,"ש""ח",267.08
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000002,1/1/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",1/1/2025,100,יח',156750.00,"ש""ח",156750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000036,1/8/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",1/15/2025,100,יח',156750.00,"ש""ח",156750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000037,1/8/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",2/2/2025,100,יח',156750.00,"ש""ח",156750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000057,1/12/2025,31000240,תיקון לחצני שמע,1/16/2025,2,יח',400.00,"ש""ח",400.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000057,1/12/2025,31000240,תיקון לחצני שמע,1/16/2025,3,יח',900.00,"ש""ח",900.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000058,1/12/2025,31000240,תיקון מכלול פייזו כולל כרטיס אחרי תיקון,1/16/2025,3,יח',249.00,"ש""ח",249.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000082,1/16/2025,31000240,תיקון,1/16/2025,2,יח',200.00,"ש""ח",200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000082,1/16/2025,31000240,תיקון,1/16/2025,7,יח',1050.00,"ש""ח",1050.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000082,1/16/2025,31000240,תיקון,1/16/2025,6,יח',1200.00,"ש""ח",1200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000082,1/16/2025,31000240,תיקון,1/16/2025,8,יח',2400.00,"ש""ח",2400.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000082,1/16/2025,31000240,תיקון,1/16/2025,5,יח',675.00,"ש""ח",675.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000082,1/16/2025,31000240,תיקון,1/16/2025,2,יח',208.00,"ש""ח",208.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000101,1/20/2025,33000175,אטם מכסה עליון MATU101-101,1/20/2025,10,יח',70.00,"ש""ח",70.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000163,1/28/2025,33000198,לחצן עם מחבר ללא פלסטיק MATU101-115,1/28/2025,5,יח',420.00,"ש""ח",420.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000163,1/28/2025,33000175,אטם מכסה עליון MATU101-101,1/28/2025,10,יח',70.00,"ש""ח",70.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000163,1/28/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,1/28/2025,10,יח',30.00,"ש""ח",30.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000163,1/28/2025,33000179,רמקול MATU101-105,1/28/2025,5,יח',235.00,"ש""ח",235.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000163,1/28/2025,33000206,אקסטרוזיה חיצונית MATU101-120,1/28/2025,2,יח',690.00,"ש""ח",690.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000198,1/31/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,1/31/2025,15,יח',2025.00,"ש""ח",2025.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000274,2/13/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,2/13/2025,3,יח',405.00,"ש""ח",405.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000355,2/18/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",2/18/2025,100,יח',156750.00,"ש""ח",156750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000177,אקסטרוזיה פנימית MATU101-103,2/20/2025,10,יח',11400.00,"ש""ח",11400.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,2/20/2025,15,יח',1695.00,"ש""ח",1695.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,2/20/2025,50,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000175,אטם מכסה עליון MATU101-101,2/20/2025,25,יח',175.00,"ש""ח",175.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000198,לחצן עם מחבר ללא פלסטיק MATU101-115,2/20/2025,15,יח',1125.00,"ש""ח",1125.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000177,אקסטרוזיה פנימית MATU101-103,2/20/2025,10,יח',11400.00,"ש""ח",11400.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,2/20/2025,15,יח',1695.00,"ש""ח",1695.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,2/20/2025,50,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000175,אטם מכסה עליון MATU101-101,2/20/2025,25,יח',175.00,"ש""ח",175.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000381,2/20/2025,33000198,לחצן עם מחבר ללא פלסטיק MATU101-115,2/20/2025,15,יח',1125.00,"ש""ח",1125.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000456,2/25/2025,33000172,תקתקן אקוסטי דגם מנורה 42V,2/25/2025,10,יח',15675.00,"ש""ח",15675.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000457,2/25/2025,33000172,תקתקן אקוסטי דגם מנורה 42V,2/25/2025,17,יח',26647.50,"ש""ח",26647.50
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,16000036,תיקון לחצנים דגם B חשבונית 1652 - כיסוי,2/25/2025,1,יח',200.00,"ש""ח",200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,16000036,תיקון לחצנים דגם C חשבונית 1652 ת.משלוח 54641,2/25/2025,2,יח',600.00,"ש""ח",600.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,16000036,מכלול פייזו כולל כרטיס אחרי תיקון חשבונית 1653,2/25/2025,9,יח',747.00,"ש""ח",747.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,33000175,אטם מכסה עליון MATU101-101,2/25/2025,10,יח',70.00,"ש""ח",70.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,2/25/2025,10,יח',30.00,"ש""ח",30.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,16000036,תיקון לחצנים דגם  B- כיסוי לחשבונית 1715 - הזמנה 215666,2/25/2025,1,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,16000036,תיקון לחצנים דגם  B- כיסוי לחשבונית 1715 - הזמנה 215666,2/25/2025,1,יח',200.00,"ש""ח",200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000458,2/25/2025,16000036,תיקון לחצנים דגם C - כיסוי חשבונית 1715 - הזמנה 215666,2/25/2025,4,יח',1200.00,"ש""ח",1200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000489,3/3/2025,16000036,תיקון כרטיס לחצן שמע 1756 לפי ה. מחיר 53,3/6/2025,1,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000489,3/3/2025,16000036,תיקון כרטיסים 3173+7706+23845+24255 ה. מחיר 53 עבור חיפה,3/6/2025,4,יח',1200.00,"ש""ח",1200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000492,3/3/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,3/3/2025,100,יח',300.00,"ש""ח",300.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000492,3/3/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,3/3/2025,30,יח',90.00,"ש""ח",90.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000513,3/4/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,3/4/2025,8,יח',664.00,"ש""ח",664.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000513,3/4/2025,33000176,אקסטרוזיה חיצונית MATU101-102,3/4/2025,2,יח',690.00,"ש""ח",690.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000514,3/5/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,3/5/2025,30,יח',90.00,"ש""ח",90.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000514,3/5/2025,33000174,חלק מפה MATU101-100,3/5/2025,300,יח',300.00,"ש""ח",300.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000533,3/7/2025,33000174,חלק מפה MATU101-100,3/7/2025,300,יח',300.00,"ש""ח",300.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000533,3/7/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,3/7/2025,50,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000178,חץ שקוף כולל דיפיוזר MATU101-104,3/18/2025,10,יח',210.00,"ש""ח",210.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000179,רמקול MATU101-105,3/18/2025,10,יח',470.00,"ש""ח",470.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000181,כרטיס לדים כולל אינפרא MATU101-107,3/18/2025,5,יח',675.00,"ש""ח",675.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000183,כיסוי תחתון MATU101-109,3/18/2025,10,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000184,פלסטיק עם הדפס ליקויי ראייה MATU101-110,3/18/2025,10,יח',80.00,"ש""ח",80.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,3/18/2025,10,יח',1130.00,"ש""ח",1130.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,3/18/2025,20,יח',60.00,"ש""ח",60.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000607,3/18/2025,33000198,לחצן עם מחבר ללא פלסטיק MATU101-115,3/18/2025,10,יח',840.00,"ש""ח",840.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000611,3/19/2025,33000174,חלק מפה MATU101-100,3/19/2025,200,יח',200.00,"ש""ח",200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000619,3/19/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",3/19/2025,8,יח',13200.00,"ש""ח",13200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000634,3/20/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",3/20/2025,6,יח',9900.00,"ש""ח",9900.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000645,3/23/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,3/26/2025,20,יח',2700.00,"ש""ח",2700.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000645,3/23/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,3/26/2025,20,יח',2260.00,"ש""ח",2260.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000645,3/23/2025,33000177,אקסטרוזיה פנימית MATU101-103,3/26/2025,20,יח',22800.00,"ש""ח",22800.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000645,3/23/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,3/26/2025,30,יח',90.00,"ש""ח",90.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000645,3/23/2025,33000174,חלק מפה MATU101-100,3/26/2025,50,יח',50.00,"ש""ח",50.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000645,3/23/2025,33000199,התקן IrDA מתאם אינפרא אדום ליחידה אקוסטית MATU101-114,3/23/2025,3,יח',1663.65,"ש""ח",1663.65
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000646,3/23/2025,19001084,דבק סודסיל MS CLEAR עבור הדבקת תקתקנים,3/23/2025,2,יח',200.00,"ש""ח",200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000705,3/28/2025,33000174,חלק מפה MATU101-100,3/28/2025,200,יח',200.00,"ש""ח",200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000713,3/30/2025,22002553,Pole mount adapter larg NDA-U-PMAL,3/30/2025,4,יח',800.00,"ש""ח",800.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000713,3/30/2025,22002443,מצלמה IR IP bullet 5Mp AVF H.265 IP67 SMB NBE-5503-AL,3/30/2025,4,יח',4800.00,"ש""ח",4800.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000747,4/3/2025,33000172,תקתקן אקוסטי דגם מנורה 42V,4/3/2025,6,יח',9900.00,"ש""ח",9900.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000747,4/3/2025,33000199,התקן IrDA מתאם אינפרא אדום ליחידה אקוסטית MATU101-114,4/3/2025,1,יח',277.43,"ש""ח",277.43
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000777,4/7/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",4/7/2025,100,יח',156750.00,"ש""ח",156750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000810,4/9/2025,33000174,חלק מפה MATU101-100,4/9/2025,100,יח',100.00,"ש""ח",100.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000810,4/9/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,4/9/2025,100,יח',300.00,"ש""ח",300.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000835,4/15/2025,16000036,רישיון למצלמה עבור מערכת BVMS כולל התקנה,4/15/2025,1,יח',2450.00,"ש""ח",2450.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000883,4/20/2025,22002443,מצלמה IR IP bullet 5Mp AVF H.265 IP67 SMB NBE-5503-AL,4/20/2025,1,יח',1200.00,"ש""ח",1200.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000964,4/30/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,4/30/2025,50,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000964,4/30/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,4/30/2025,5,יח',675.00,"ש""ח",675.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25000964,4/30/2025,33000176,אקסטרוזיה חיצונית MATU101-102,4/30/2025,2,יח',690.00,"ש""ח",690.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001023,5/7/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",5/7/2025,100,יח',156750.00,"ש""ח",156750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001050,5/12/2025,33000174,חלק מפה MATU101-100,5/12/2025,500,יח',500.00,"ש""ח",500.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001050,5/12/2025,33000178,חץ שקוף כולל דיפיוזר MATU101-104,5/12/2025,15,יח',318.75,"ש""ח",318.75
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001050,5/12/2025,33000200,פלסטיק עם הדפס ללא לחצן MATU101-116,5/12/2025,15,יח',465.00,"ש""ח",465.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001052,5/12/2025,33000174,חלק מפה MATU101-100,5/12/2025,250,יח',250.00,"ש""ח",250.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001073,5/13/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",5/13/2025,24,יח',39600.00,"ש""ח",39600.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001078,5/13/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",5/13/2025,280,יח',438900.00,"ש""ח",438900.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001120,5/19/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,5/19/2025,100,יח',300.00,"ש""ח",300.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001121,5/19/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,5/19/2025,10,יח',1130.00,"ש""ח",1130.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001149,5/20/2025,16000036,"רישוי למצלמה במערכת של מנת""י BVMS",5/20/2025,7,יח',3850.00,"ש""ח",3850.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001149,5/20/2025,16000036,התקנה והגדרות,5/20/2025,1,יח',250.00,"ש""ח",250.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001149,5/20/2025,16000036,מערכת כריזה של שופר IP,5/20/2025,1,יח',750.00,"ש""ח",750.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001164,5/23/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,5/25/2025,20,יח',2700.00,"ש""ח",2700.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001164,5/23/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,5/25/2025,50,יח',150.00,"ש""ח",150.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001164,5/23/2025,33000174,חלק מפה MATU101-100,5/25/2025,100,יח',100.00,"ש""ח",100.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001182,5/25/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,5/25/2025,15,יח',1695.00,"ש""ח",1695.00
2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",PO25001224,5/27/2025,33000174,חלק מפה MATU101-100,5/28/2025,300,יח',300.00,"ש""ח",300.00
2030228,"מטלאור (עין איילה) בע""מ",PO25000219,2/4/2025,14000292,עמוד תנועה 4.4 מ' - סטנדר בצבע RAL 7024,2/4/2025,2,יח',1600.00,"ש""ח",1600.00
2030228,"מטלאור (עין איילה) בע""מ",PO25000300,2/17/2025,14000366,"עמוד מתומן 12 מ' ""דגם ירושלים"" כולל פלטה 4 חורים",2/17/2025,1,יח',2943.95,"ש""ח",2943.95
2030228,"מטלאור (עין איילה) בע""מ",PO25000300,2/17/2025,14000365,בסיס יציקה+הארקה לעמוד מצלמה 12 מ' 4 ברגים,2/17/2025,1,יח',504.97,"ש""ח",504.97
2030228,"מטלאור (עין איילה) בע""מ",PO25000414,2/23/2025,14000296,עמוד תקתקן עם דלת 1.50 מ' 4'' בצבע RAL 7024,2/23/2025,8,יח',2680.00,"ש""ח",2680.00
2030228,"מטלאור (עין איילה) בע""מ",PO25000414,2/23/2025,14000292,עמוד תנועה 4.4 מ' - סטנדר בצבע RAL 7024,2/23/2025,11,יח',7260.00,"ש""ח",7260.00
2030228,"מטלאור (עין איילה) בע""מ",PO25000414,2/23/2025,14000295,"עמוד ציר מחוזק 5.25X""6 דופן 6 מ''מ בצבע RAL 7024",2/23/2025,9,יח',16695.00,"ש""ח",16695.00
2030228,"מטלאור (עין איילה) בע""מ",PO25000414,2/23/2025,14000367,"שוט ג'בו ""4 4.5X בצבע RAL 7024",2/23/2025,5,יח',5750.00,"ש""ח",5750.00
2030228,"מטלאור (עין איילה) בע""מ",PO25000424,2/24/2025,14000368,"שוט ג'בו ""4 5.0X בצבע RAL 7024",2/24/2025,4,יח',4689.60,"ש""ח",4689.60
